Home Team,Away Team,Winner,Point Differential
Denver Nuggets,Los Angeles Lakers,Denver Nuggets,12
Golden State Warriors,Phoenix Suns,Phoenix Suns,4
Orlando Magic,Houston Rockets,Orlando Magic,30
New York Knicks,Boston Celtics,Boston Celtics,4
Indiana Pacers,Washington Wizards,Indiana Pacers,23
Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,6
Miami Heat,Detroit Pistons,Miami Heat,1
Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,3
Brooklyn Nets,Cleveland Cavaliers,Cleveland Cavaliers,1
Memphis Grizzlies,New Orleans Pelicans,New Orleans Pelicans,7
Chicago Bulls,Oklahoma City Thunder,Oklahoma City Thunder,20
Utah Jazz,Sacramento Kings,Sacramento Kings,16
San Antonio Spurs,Dallas Mavericks,Dallas Mavericks,7
Los Angeles Clippers,Portland Trail Blazers,Los Angeles Clippers,12
Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,1
Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,5
Memphis Grizzlies,Denver Nuggets,Denver Nuggets,4
Charlotte Hornets,Detroit Pistons,Detroit Pistons,12
Atlanta Hawks,New York Knicks,New York Knicks,6
Cleveland Cavaliers,Oklahoma City Thunder,Oklahoma City Thunder,3
Boston Celtics,Miami Heat,Boston Celtics,8
Chicago Bulls,Toronto Raptors,Chicago Bulls,1
San Antonio Spurs,Houston Rockets,San Antonio Spurs,4
Dallas Mavericks,Brooklyn Nets,Dallas Mavericks,5
Utah Jazz,Los Angeles Clippers,Utah Jazz,2
Portland Trail Blazers,Orlando Magic,Orlando Magic,5
Sacramento Kings,Golden State Warriors,Golden State Warriors,8
Detroit Pistons,Chicago Bulls,Detroit Pistons,16
Washington Wizards,Memphis Grizzlies,Washington Wizards,7
New Orleans Pelicans,New York Knicks,New Orleans Pelicans,9
Cleveland Cavaliers,Indiana Pacers,Indiana Pacers,12
Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,7
Minnesota Timberwolves,Miami Heat,Minnesota Timberwolves,16
Phoenix Suns,Utah Jazz,Phoenix Suns,22
Oklahoma City Thunder,Denver Nuggets,Denver Nuggets,33
Houston Rockets,Golden State Warriors,Golden State Warriors,11
Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks,17
Philadelphia 76ers,Portland Trail Blazers,Philadelphia 76ers,28
