Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Tue, Oct 24, 2023",Denver Nuggets,Los Angeles Lakers,119,107,Denver Nuggets,Los Angeles Lakers,12
"Tue, Oct 24, 2023",Golden State Warriors,Phoenix Suns,104,108,Phoenix Suns,Golden State Warriors,4
"Wed, Oct 25, 2023",Orlando Magic,Houston Rockets,116,86,Orlando Magic,Houston Rockets,30
"Wed, Oct 25, 2023",New York Knicks,Boston Celtics,104,108,Boston Celtics,New York Knicks,4
"Wed, Oct 25, 2023",Indiana Pacers,Washington Wizards,143,120,Indiana Pacers,Washington Wizards,23
"Wed, Oct 25, 2023",Charlotte Hornets,Atlanta Hawks,116,110,Charlotte Hornets,Atlanta Hawks,6
"Wed, Oct 25, 2023",Miami Heat,Detroit Pistons,103,102,Miami Heat,Detroit Pistons,1
"Wed, Oct 25, 2023",Toronto Raptors,Minnesota Timberwolves,97,94,Toronto Raptors,Minnesota Timberwolves,3
"Wed, Oct 25, 2023",Brooklyn Nets,Cleveland Cavaliers,113,114,Cleveland Cavaliers,Brooklyn Nets,1
"Wed, Oct 25, 2023",Memphis Grizzlies,New Orleans Pelicans,104,111,New Orleans Pelicans,Memphis Grizzlies,7
"Wed, Oct 25, 2023",Chicago Bulls,Oklahoma City Thunder,104,124,Oklahoma City Thunder,Chicago Bulls,20
"Wed, Oct 25, 2023",Utah Jazz,Sacramento Kings,114,130,Sacramento Kings,Utah Jazz,16
"Wed, Oct 25, 2023",San Antonio Spurs,Dallas Mavericks,119,126,Dallas Mavericks,San Antonio Spurs,7
"Wed, Oct 25, 2023",Los Angeles Clippers,Portland Trail Blazers,123,111,Los Angeles Clippers,Portland Trail Blazers,12
"Thu, Oct 26, 2023",Milwaukee Bucks,Philadelphia 76ers,118,117,Milwaukee Bucks,Philadelphia 76ers,1
"Thu, Oct 26, 2023",Los Angeles Lakers,Phoenix Suns,100,95,Los Angeles Lakers,Phoenix Suns,5
"Fri, Oct 27, 2023",Memphis Grizzlies,Denver Nuggets,104,108,Denver Nuggets,Memphis Grizzlies,4
"Fri, Oct 27, 2023",Charlotte Hornets,Detroit Pistons,99,111,Detroit Pistons,Charlotte Hornets,12
"Fri, Oct 27, 2023",Atlanta Hawks,New York Knicks,120,126,New York Knicks,Atlanta Hawks,6
"Fri, Oct 27, 2023",Cleveland Cavaliers,Oklahoma City Thunder,105,108,Oklahoma City Thunder,Cleveland Cavaliers,3
"Fri, Oct 27, 2023",Boston Celtics,Miami Heat,119,111,Boston Celtics,Miami Heat,8
"Fri, Oct 27, 2023",Chicago Bulls,Toronto Raptors,104,103,Chicago Bulls,Toronto Raptors,1
