TEAM,GP,W,L,WINpct,MIN,PTS,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Los Angeles Lakers,33,24,9,72.7,4.4,10.8,3.2,6.8,46.4,0.8,2.8,27.7,3.7,4.4,82.9,0.9,3.1,4.0,1.8,1.0,0.5,0.7,0.3,1.6,3.1,1.0
Dallas Mavericks,32,23,9,71.9,3.3,9.4,3.0,6.3,47.5,1.2,3.3,36.8,2.2,2.6,85.5,0.7,2.3,3.0,1.8,0.5,0.5,0.4,0.3,1.6,2.0,2.4
Denver Nuggets,40,26,14,65.0,3.4,9.1,3.1,5.8,53.0,0.7,2.0,35.4,2.3,3.0,76.3,0.8,2.3,3.1,1.8,0.9,0.5,0.3,0.3,1.6,2.1,2.3
Boston Celtics,33,21,12,63.6,3.9,9.5,2.8,6.4,44.8,1.0,2.8,35.2,2.8,3.3,83.6,0.9,2.8,3.7,1.5,0.8,0.4,0.6,0.3,1.9,2.1,1.9
Oklahoma City Thunder,38,24,14,63.2,3.4,9.3,3.1,5.9,52.5,0.8,2.2,36.1,2.4,2.8,83.3,0.8,2.2,2.9,1.6,0.9,0.5,0.4,0.3,1.7,1.9,1.2
Chicago Bulls,44,27,17,61.4,4.8,11.9,4.0,8.3,48.4,1.1,2.8,38.8,2.9,3.5,80.8,1.0,3.2,4.2,2.3,1.1,0.8,0.5,0.5,2.4,2.7,2.6
Orlando Magic,35,21,14,60.0,3.8,7.9,2.5,6.5,38.9,0.6,2.5,22.5,2.2,2.9,76.5,1.4,2.4,3.8,1.3,1.0,0.5,0.5,0.3,2.1,2.1,0.4
Minnesota Timberwolves,36,21,15,58.3,4.1,8.5,2.7,6.3,42.7,0.9,3.0,31.5,2.3,3.1,71.7,0.8,2.6,3.3,1.6,1.1,0.3,0.4,0.3,2.3,2.3,-0.9
Milwaukee Bucks,40,23,17,57.5,3.7,9.9,2.9,6.6,44.1,1.1,3.2,33.3,3.0,3.7,81.0,0.8,2.3,3.2,1.8,0.9,0.5,0.4,0.5,1.9,2.5,1.4
Los Angeles Clippers,40,22,18,55.0,3.1,7.9,2.4,5.3,44.1,0.8,2.3,33.0,2.4,2.8,87.4,0.8,1.9,2.7,1.4,0.8,0.6,0.4,0.3,1.6,1.9,1.1
Miami Heat,42,22,20,52.4,3.6,7.1,2.2,6.1,36.3,0.8,2.6,30.6,1.9,2.3,80.6,0.9,2.0,2.9,1.0,0.8,0.5,0.2,0.4,1.9,1.6,-0.9
New York Knicks,33,17,16,51.5,3.3,8.6,2.9,6.5,44.0,0.7,2.6,26.4,2.2,3.1,69.9,1.4,2.1,3.5,1.3,0.6,0.6,0.4,0.3,1.6,2.2,1.6
Sacramento Kings,39,20,19,51.3,4.4,10.0,3.5,7.7,44.9,0.9,2.9,30.1,2.2,3.2,69.9,1.1,3.0,4.1,1.7,1.2,0.6,0.3,0.5,2.2,2.4,0.4
Golden State Warriors,48,24,24,50.0,3.3,8.4,2.9,6.5,44.2,1.1,3.3,34.6,1.5,1.9,82.0,0.9,1.7,2.6,1.8,0.7,0.5,0.2,0.4,2.0,1.6,0.1
Philadelphia 76ers,36,18,18,50.0,3.7,9.3,2.9,6.5,44.7,0.8,2.2,37.5,2.6,3.1,84.7,0.9,2.4,3.3,1.7,0.9,0.7,0.5,0.8,2.3,2.0,0.0
Phoenix Suns,41,20,21,48.8,3.5,7.5,2.4,5.9,40.7,0.7,2.5,28.7,2.0,2.4,84.7,0.7,2.3,3.0,1.5,0.8,0.6,0.7,0.2,2.0,1.9,-0.3
Indiana Pacers,37,18,19,48.6,3.5,8.8,3.1,6.3,48.3,0.9,2.6,33.7,1.8,2.2,80.2,0.7,2.0,2.7,1.5,0.9,0.5,0.4,0.5,2.2,1.8,-0.2
Utah Jazz,33,16,17,48.5,4.0,9.4,3.1,6.8,45.1,1.2,2.9,40.2,2.1,2.6,80.2,1.2,2.7,3.9,1.9,1.3,0.4,0.6,0.6,2.0,2.1,0.8
New Orleans Pelicans,29,14,15,48.3,3.2,7.0,2.5,5.4,46.2,0.4,1.4,27.5,1.7,2.4,69.6,0.7,1.9,2.6,1.5,1.1,0.3,0.4,0.4,1.9,1.8,-0.5
Cleveland Cavaliers,42,20,22,47.6,3.7,7.7,2.5,5.7,43.2,0.8,2.4,31.7,2.0,2.5,79.4,0.8,2.3,3.1,1.5,1.1,0.3,0.3,0.5,1.8,1.8,-0.3
Portland Trail Blazers,37,17,20,45.9,4.1,9.1,3.2,7.0,45.7,0.6,2.0,32.0,2.1,2.6,80.2,1.2,2.8,4.0,1.8,1.6,0.5,0.5,0.6,2.2,2.0,0.2
Atlanta Hawks,47,21,26,44.7,3.7,8.0,2.5,6.6,38.3,0.6,2.3,26.9,2.4,3.1,75.7,1.1,2.2,3.3,0.9,0.8,0.4,0.3,0.4,1.9,2.3,-1.4
Brooklyn Nets,35,15,20,42.9,4.6,10.8,3.6,8.3,43.8,1.0,3.3,29.9,2.5,3.3,77.4,1.1,3.0,4.1,1.8,1.0,0.5,0.9,0.5,2.3,2.5,-0.3
Charlotte Hornets,35,15,20,42.9,3.6,8.1,2.7,5.7,47.2,0.7,2.1,34.7,2.0,2.4,83.3,0.7,2.2,2.9,1.5,0.9,0.7,0.3,0.5,2.1,1.8,-0.7
Houston Rockets,40,17,23,42.5,3.7,8.4,2.8,6.7,41.8,0.9,2.6,33.7,1.9,2.8,67.3,1.0,2.0,3.0,1.7,0.6,0.7,0.3,0.7,2.5,1.9,-1.2
Memphis Grizzlies,36,15,21,41.7,3.6,7.2,2.4,5.9,40.1,0.3,2.0,16.4,2.2,2.5,87.6,1.0,2.2,3.2,1.0,1.2,0.5,0.7,0.4,1.8,1.9,-0.6
