PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
54,5.23,12,107,119,1
47,2.77,4,108,104,0
46,1.48,30,86,116,1
53,4.36,4,108,104,0
48,2.75,23,120,143,1
18,-10.12,6,110,116,1
46,1.1,1,102,103,1
26,-6.45,3,94,97,1
34,-3.02,1,114,113,0
24,-6.57,7,111,104,0
37,-1.77,20,124,104,0
29,-4.22,16,130,114,0
26,-5.8,7,126,119,0
49,3.41,12,111,123,1
47,2.44,1,117,118,1
42,1.07,5,95,100,1
24,-6.57,4,108,104,0
18,-10.12,12,111,99,0
36,-2.38,6,126,120,0
47,1.98,3,108,105,0
66,10.75,8,111,119,1
37,-1.77,1,103,104,1
26,-5.8,4,122,126,1
46,2.3,5,120,125,1
29,-4.22,2,118,120,1
20,-8.29,5,102,97,0
45,2.29,8,122,114,0
20,-9.06,16,102,118,1
20,-9.29,7,106,113,1
52,4.46,9,87,96,1
47,1.98,12,125,113,0
26,-6.45,7,114,107,0
57,6.39,16,90,106,1
49,3.08,22,104,126,1
58,7.36,33,128,95,0
44,1.24,11,106,95,0
47,2.44,17,127,110,0
49,2.51,28,98,126,1
49,3.41,40,83,123,1
45,2.29,5,127,132,1
48,2.75,7,112,105,0
20,-9.29,19,126,107,0
18,-10.12,12,133,121,0
26,-6.45,8,99,91,0
36,-2.38,14,113,127,1
24,-6.57,15,125,110,0
47,2.44,8,114,122,1
52,4.46,28,130,102,0
58,7.36,12,112,124,1
54,5.23,8,102,110,1
42,1.07,3,103,106,1
47,1.98,18,109,91,0
49,3.08,1,115,114,0
49,3.41,16,102,118,1
20,-9.06,9,110,101,0
26,-6.45,19,111,130,1
36,-2.38,9,121,130,1
66,10.75,51,104,155,1
46,1.1,4,109,105,0
53,4.36,6,95,89,0
58,7.36,4,110,106,0
44,1.24,9,119,128,1
57,6.39,21,89,110,1
46,2.3,9,105,114,1
29,-4.22,24,109,133,1
47,2.77,1,101,102,1
42,1.07,5,125,130,1
49,2.51,15,99,114,1
52,4.46,9,116,125,1
29,-4.22,2,115,113,0
49,3.08,11,132,121,0
48,2.75,5,116,121,1
47,2.44,5,105,110,1
37,-1.77,2,109,107,0
46,1.1,7,114,121,1
58,7.36,2,141,139,0
54,5.23,11,114,125,1
20,-8.29,2,113,115,1
49,2.51,12,100,112,1
48,2.75,1,125,124,0
52,4.46,18,123,105,0
46,1.48,19,101,120,1
34,-3.02,10,124,114,0
44,1.24,18,89,107,1
57,6.39,28,95,123,1
54,5.23,22,101,123,1
20,-9.06,14,120,106,0
26,-5.8,7,123,116,0
47,1.98,11,104,115,1
46,2.3,6,118,124,1
20,-8.29,12,112,100,0
20,-9.06,11,120,109,0
48,2.75,41,111,152,1
46,1.48,15,117,102,0
49,2.51,18,128,146,1
34,-3.02,4,129,125,0
46,1.1,1,107,108,1
53,4.36,14,97,111,1
37,-1.77,17,113,130,1
44,1.24,25,97,122,1
57,6.39,5,109,114,1
58,7.36,9,117,126,1
54,5.23,18,116,134,1
18,-10.12,16,132,116,0
48,2.75,16,118,134,1
49,2.51,3,103,106,1
34,-3.02,7,93,100,1
53,4.36,21,105,126,1
37,-1.77,1,116,115,0
44,1.24,34,94,128,1
24,-6.57,6,108,102,0
47,2.44,2,118,120,1
57,6.39,21,101,122,1
58,7.36,8,120,128,1
46,2.3,11,127,116,0
54,5.23,3,105,108,1
45,2.29,3,118,121,1
48,2.75,2,124,126,1
46,1.48,1,120,119,0
20,-9.06,8,114,106,0
20,-9.29,7,124,117,0
66,10.75,14,107,121,1
44,1.24,3,101,104,1
24,-6.57,6,127,121,0
26,-5.8,7,117,110,0
46,2.3,18,126,144,1
49,3.08,3,122,119,0
45,2.29,7,98,105,1
