Rk,Player,Age,G,MP,PER,TSpct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team
1,Jayson Tatum,25,74,2645,22.3,.604,.427,.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,6.4,4.1,10.4,.189,4.5,0.6,5.1,4.7,Boston Celtics
2,Derrick White,29,73,2381,16.9,.611,.590,.181,2.4,11.3,7.0,21.2,1.5,3.2,11.0,18.6,5.2,3.3,8.5,.171,2.4,1.4,3.8,3.5,Boston Celtics
3,Jaylen Brown,27,70,2343,18.6,.580,.326,.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,.121,0.9,-0.1,0.7,1.6,Boston Celtics
4,Jrue Holiday,33,69,2263,14.4,.597,.467,.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3.0,6.3,.133,1.0,1.1,2.1,2.4,Boston Celtics
5,Payton Pritchard,26,82,1825,15.3,.597,.602,.088,4.3,11.1,7.8,20.7,1.1,0.3,8.5,17.2,4.2,1.9,6.1,.160,1.3,-0.2,1.0,1.4,Boston Celtics
6,Sam Hauser,26,79,1741,13.0,.629,.833,.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15.0,2.7,2.1,4.9,.134,1.2,0.0,1.2,1.4,Boston Celtics
7,Al Horford,37,65,1740,15.0,.650,.616,.072,5.3,19.7,12.8,12.3,1.1,3.1,10.0,12.0,3.5,2.7,6.2,.172,1.7,2.0,3.6,2.5,Boston Celtics
8,Kristaps Porziņģis,28,57,1690,23.2,.647,.390,.402,6.5,19.1,13.1,10.0,1.2,5.8,9.1,25.1,4.9,3.0,7.9,.226,3.5,1.6,5.1,3.0,Boston Celtics
9,Luke Kornet,28,63,983,19.8,.736,.005,.266,13.5,15.1,14.3,8.9,1.2,5.5,8.5,11.0,3.5,1.6,5.1,.248,1.6,1.8,3.4,1.3,Boston Celtics
10,Oshae Brissett,25,55,630,12.8,.530,.359,.542,10.9,16.3,13.7,8.7,1.5,1.1,9.5,14.5,0.8,0.9,1.7,.131,-2.0,0.2,-1.8,0.0,Boston Celtics
11,Svi Mykhailiuk,26,41,413,11.7,.575,.788,.066,3.0,10.0,6.7,11.0,1.3,0.2,7.8,16.1,0.5,0.4,0.9,.106,-0.9,-0.9,-1.8,0.0,Boston Celtics
12,Neemias Queta,24,28,333,22.9,.662,.000,.269,17.9,21.5,19.8,8.5,1.9,5.5,10.1,16.9,1.1,0.7,1.8,.259,0.4,1.1,1.5,0.3,Boston Celtics
13,Xavier Tillman Sr.,25,20,274,13.3,.579,.424,.106,5.8,15.1,10.6,9.3,1.6,2.9,6.7,11.8,0.4,0.4,0.8,.142,-1.3,1.3,0.0,0.1,Boston Celtics
14,Dalano Banton,24,24,171,9.9,.468,.314,.392,7.9,13.9,11.0,13.9,1.4,1.5,14.3,17.8,0.0,0.2,0.2,.063,-4.7,0.6,-4.1,-0.1,Boston Celtics
15,Jaden Springer,21,17,130,10.9,.522,.367,.267,6.9,9.6,8.3,8.6,4.2,2.7,19.3,13.9,0.0,0.3,0.2,.092,-6.0,2.8,-3.2,0.0,Boston Celtics
16,Lamar Stevens,26,19,122,14.5,.532,.178,.244,11.1,16.1,13.7,8.9,2.4,3.6,15.3,21.0,0.0,0.2,0.2,.093,-2.9,0.9,-2.0,0.0,Boston Celtics
17,Jordan Walsh,19,9,83,8.4,.472,.600,.133,6.8,18.7,13.0,7.2,3.0,1.1,15.9,9.9,0.0,0.2,0.2,.089,-5.6,1.8,-3.8,0.0,Boston Celtics
18,JD Davison,21,8,39,18.8,.581,.583,.333,5.8,21.2,13.8,32.9,1.3,2.3,12.7,17.6,0.1,0.1,0.2,.228,1.8,1.4,3.3,0.1,Boston Celtics
19,Drew Peterson,24,3,23,18.5,.917,.833,.000,0.0,4.5,2.3,5.9,4.3,0.0,14.3,13.3,0.1,0.0,0.1,.194,3.8,1.6,5.3,0.0,Boston Celtics
1,Bam Adebayo,26,71,2416,19.8,.576,.041,.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,.144,0.8,1.7,2.4,2.7,Miami Heat
2,Jaime Jaquez Jr.,22,75,2113,12.9,.574,.290,.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4.0,.092,-2.2,0.3,-1.9,0.1,Miami Heat
3,Jimmy Butler,34,60,2042,22.0,.626,.183,.579,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24.0,6.4,2.7,9.1,.214,3.9,0.7,4.6,3.4,Miami Heat
4,Duncan Robinson,29,68,1905,12.2,.612,.701,.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19.0,1.6,2.0,3.6,.091,-0.5,-0.4,-0.9,0.6,Miami Heat
5,Caleb Martin,28,64,1756,10.8,.531,.415,.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,0.2,2.2,2.4,.066,-2.2,0.2,-2.0,0.0,Miami Heat
6,Tyler Herro,24,42,1407,15.7,.558,.453,.151,1.5,16.5,8.9,22.4,1.1,0.2,10.6,27.8,0.4,1.6,2.0,.068,1.5,-0.7,0.8,1.0,Miami Heat
7,Haywood Highsmith,27,66,1366,11.1,.587,.584,.109,5.3,12.1,8.7,7.2,1.9,2.1,9.0,12.4,1.1,1.9,3.1,.108,-1.8,1.1,-0.7,0.5,Miami Heat
8,Josh Richardson,30,43,1103,11.4,.573,.548,.156,1.8,10.7,6.2,13.9,1.1,1.2,8.9,16.5,0.9,1.2,2.1,.093,-1.3,0.0,-1.3,0.2,Miami Heat
9,Kyle Lowry,37,37,1037,10.9,.582,.665,.174,2.7,11.5,7.0,19.5,1.9,1.4,16.9,13.5,0.8,1.4,2.2,.100,-2.0,1.3,-0.8,0.3,Miami Heat
10,Terry Rozier,29,31,975,15.1,.531,.396,.154,2.1,13.1,7.6,23.4,1.6,0.9,7.9,23.8,0.6,1.2,1.9,.092,0.4,0.3,0.7,0.7,Miami Heat
11,Kevin Love,35,55,924,18.5,.597,.680,.301,7.2,34.5,20.7,19.0,1.0,1.1,10.6,21.9,1.7,1.6,3.3,.170,2.7,1.0,3.6,1.3,Miami Heat
12,Nikola Jović,20,46,896,12.8,.583,.580,.167,3.1,21.3,12.1,14.7,1.4,1.5,12.2,17.1,0.6,1.3,1.9,.103,-0.9,1.3,0.3,0.5,Miami Heat
13,Thomas Bryant,26,38,441,19.0,.639,.148,.315,10.2,26.2,18.1,8.3,1.1,3.5,11.0,19.3,0.9,0.8,1.6,.177,-0.6,0.2,-0.4,0.2,Miami Heat
14,Orlando Robinson,23,36,304,14.0,.596,.208,.347,10.4,21.0,15.7,15.8,1.1,2.6,17.8,14.8,0.4,0.5,0.9,.135,-1.9,0.8,-1.1,0.1,Miami Heat
15,Delon Wright,31,14,286,12.9,.520,.455,.242,2.4,8.4,5.3,17.6,3.3,1.0,3.9,11.9,0.4,0.5,0.8,.136,-2.4,2.8,0.3,0.2,Miami Heat
16,Jamal Cain,24,26,259,11.5,.544,.392,.291,6.5,9.7,8.1,5.6,1.9,1.9,8.2,16.7,0.1,0.3,0.5,.089,-2.5,0.2,-2.3,0.0,Miami Heat
