TEAM,GP,W,L,WINpct,MIN,PTS,FGM,FGA,FGpct,3PM,3PA,3Ppct,FTM,FTA,FTpct,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,27,21,6,.778,48.2,120.4,44.8,90.0,49.8,17.0,42.0,40.4,13.8,17.2,80.2,10.7,33.6,44.3,28.3,10.7,7.7,6.7,3.7,14.4,15.3,13.9
Denver Nuggets,27,21,6,.778,48.2,116.7,45.3,88.7,51.0,12.1,31.4,38.6,14.1,18.2,77.4,10.0,35.1,45.1,31.1,12.7,7.9,6.1,4.4,17.4,16.3,9.6
Oklahoma City Thunder,28,20,8,.714,48.2,118.7,44.6,89.9,49.6,13.2,34.6,38.0,16.4,20.2,81.1,9.2,34.7,43.9,26.8,13.0,9.1,6.4,4.9,17.5,17.9,7.9
Dallas Mavericks,27,18,9,.667,48.2,116.2,43.4,89.4,48.6,13.7,38.0,36.2,15.6,20.4,76.5,9.4,35.0,44.4,25.9,12.6,7.4,5.9,4.0,17.0,18.4,3.8
Golden State Warriors,29,19,10,.655,48.0,114.2,43.8,91.2,48.1,14.1,37.4,37.7,12.4,16.3,76.1,11.7,35.1,46.8,29.9,14.2,7.6,5.4,5.2,17.5,15.2,4.6
Los Angeles Lakers,26,17,9,.654,48.6,120.3,44.6,87.6,50.9,12.8,32.8,39.1,18.3,23.0,79.6,8.3,35.7,44.0,28.6,14.4,6.3,5.3,4.7,14.3,18.7,2.2
Minnesota Timberwolves,27,17,10,.630,48.4,111.0,41.0,86.5,47.5,12.8,34.1,37.6,16.1,21.2,75.7,9.8,33.4,43.1,27.0,12.9,8.7,6.5,4.0,17.4,18.9,4.8
New York Knicks,27,17,10,.630,48.4,109.3,40.5,87.6,46.2,13.7,37.0,37.0,14.7,19.2,76.4,12.6,31.2,43.8,25.8,13.4,7.8,4.6,5.0,16.8,17.6,4.7
Orlando Magic,27,17,10,.630,48.0,107.9,39.9,82.6,48.3,11.3,31.4,35.8,16.8,21.9,76.5,9.5,31.7,41.2,24.3,14.9,8.3,5.0,4.1,17.1,19.4,4.4
Indiana Pacers,26,16,10,.615,48.2,122.4,47.4,93.7,50.6,12.3,34.2,35.9,15.3,19.2,79.4,10.3,33.2,43.4,30.5,11.8,7.5,5.9,4.7,20.3,17.5,6.5
Houston Rockets,28,17,11,.607,48.4,116.3,42.2,92.8,45.5,14.1,40.0,35.3,17.8,22.9,77.7,12.3,32.7,45.0,24.8,12.4,8.4,4.9,5.9,19.5,18.6,2.1
Miami Heat,27,16,11,.593,48.4,109.3,40.1,85.3,47.0,12.5,34.2,36.6,16.5,20.5,80.7,8.7,33.7,42.4,25.5,12.0,7.9,4.0,4.4,15.6,18.2,4.9
New Orleans Pelicans,27,16,11,.593,48.0,112.3,41.6,86.5,48.1,13.3,33.7,39.3,15.7,20.0,78.6,9.3,34.1,43.4,26.7,12.6,8.2,4.2,5.2,16.8,16.9,4.8
Phoenix Suns,27,16,11,.593,48.2,113.5,42.0,87.3,48.2,13.6,34.9,38.8,15.9,19.7,80.5,10.9,34.9,45.8,27.6,14.9,7.2,5.9,4.1,17.0,16.9,2.7
Milwaukee Bucks,26,14,12,.538,48.4,112.4,41.2,86.9,47.3,14.2,38.5,36.8,16.0,20.3,78.6,9.5,35.0,44.5,26.1,12.9,6.6,4.7,4.4,17.3,17.4,1.4
Philadelphia 76ers,28,15,13,.536,48.4,107.4,39.6,89.0,44.4,13.6,36.8,36.9,14.7,17.9,81.9,10.9,31.6,42.5,24.9,12.1,8.2,6.4,6.5,19.4,15.6,0.5
Sacramento Kings,28,15,13,.536,48.4,113.0,42.3,91.0,46.5,13.6,37.9,35.8,14.8,19.1,77.4,11.9,33.5,45.4,27.8,12.5,8.4,4.6,3.9,19.4,17.2,4.2
Los Angeles Clippers,29,15,14,.517,48.0,110.8,41.1,85.7,47.9,11.7,32.9,35.6,16.9,20.0,84.5,9.8,33.2,43.0,24.8,13.5,7.4,4.7,4.9,17.2,17.0,-0.9
Chicago Bulls,27,13,14,.481,48.7,113.2,42.8,90.2,47.5,10.9,30.9,35.1,16.7,21.1,79.2,11.5,33.1,44.6,26.3,12.0,8.0,3.9,5.3,17.8,18.6,-2.0
