time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
11:49.0,"{'player': 'J. Brown', 'action': 'misses 2-pt jump shot from 15 ft'}",0-0,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:47.0,"{'player': '', 'action': ''}",0-0,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:31.0,"{'player': '', 'action': ''}",0-2,"{'player': 'L. Dončić', 'action': 'makes 2-pt layup from 2 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:10.0,"{'player': 'A. Horford', 'action': 'misses 3-pt jump shot from 25 ft'}",0-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:09.0,"{'player': '', 'action': ''}",0-2,"{'player': 'J. Green', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:02.0,"{'player': '', 'action': ''}",0-2,"{'player': 'J. Green D. White', 'action': 'J. Green misses 2-pt layup from 1 ft (block by D. White )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:01.0,"{'player': '', 'action': ''}",0-2,"{'player': '', 'action': 'Offensive rebound by Team'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:50.0,"{'player': '', 'action': ''}",0-2,"{'player': 'D. Jones', 'action': 'misses 2-pt hook shot from 5 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:48.0,"{'player': 'J. Holiday', 'action': 'Defensive rebound by'}",0-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:42.0,"{'player': 'J. Holiday K. Irving', 'action': 'Turnover by J. Holiday (lost ball; steal by K. Irving )'}",0-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:31.0,"{'player': '', 'action': ''}",0-2,"{'player': 'D. Jones', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:28.0,"{'player': 'A. Horford', 'action': 'Defensive rebound by'}",0-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:20.0,"{'player': 'K. Irving J. Tatum', 'action': 'Shooting foul by K. Irving (drawn by J. Tatum )'}",0-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:20.0,"{'player': 'J. Tatum', 'action': 'makes free throw 1 of 2'}",1-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:20.0,"{'player': 'J. Tatum', 'action': 'makes free throw 2 of 2'}",2-2,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
